GDS Record Locator,Reservation Date,Car Pick Up Date,Car Drop Off Date,Car Chain Code,Car Chain Name,Car Pick Up City,Car Pick Up State,Car Drop Off City,Car Drop Off State,Car Rental Days,Car Daily Rate,Car Category,Online Indicator
227EXQ,10/22/10,11/1/10,11/4/10,ZR,DOLLAR RENT A CAR,San Antonio,TX,San Antonio,TX,3,17.00,Compact,Y
22DQ43,10/13/10,10/18/10,10/22/10,ZL,NATIONAL CAR RENTAL,San Antonio,TX,San Antonio,TX,4,89.00,Minivan,Y
22FHAR,10/7/10,10/12/10,10/12/10,ZD,BUDGET RENT A CAR,Houston-Hobby,TX,Houston-Hobby,TX,1,56.00,Intermediate,Y
22G2UI,10/20/10,10/25/10,10/27/10,ZD,BUDGET RENT A CAR,Las Vegas,NV,Las Vegas,NV,2,30.00,Economy,Y
22G2UI,10/25/10,10/25/10,10/26/10,ZD,BUDGET RENT A CAR,Las Vegas,NV,Las Vegas,NV,1,30.00,Economy,Y
22G2UI,10/26/10,10/25/10,10/26/10,ZD,BUDGET RENT A CAR,Las Vegas,NV,Las Vegas,NV,1,30.00,Economy,Y
22GDRS,10/7/10,10/12/10,10/13/10,ET,ENTERPRISE CARS,Salt Lake City,UT,Salt Lake City,UT,1,33.00,Intermediate,Y
22GNCH,10/13/10,10/18/10,10/21/10,ET,ENTERPRISE CARS,Anchorage,AK,Anchorage,AK,3,30.00,Standard,Y
22OJE5,10/20/10,10/24/10,10/29/10,ZR,DOLLAR RENT A CAR,Columbus,OH,Columbus,OH,5,28.00,Compact,Y
22PLZD,10/20/10,10/24/10,10/29/10,AL,ALAMO RENT A CAR,Denver,CO,Denver,CO,5,23.00,Economy,Y
22S9OC,10/1/10,10/4/10,10/6/10,ZE,HERTZ RENT A CAR,Columbus,OH,Columbus,OH,2,91.79,Intermediate,N
22UR9L,9/30/10,10/3/10,10/8/10,AD,ADVANTAGE,Denver,CO,Denver,CO,5,22.80,Compact,Y
22WSMX,10/13/10,10/18/10,10/20/10,ZD,BUDGET RENT A CAR,Washington DC,DC,Washington DC,DC,2,55.00,Full Size,Y
236SV5,9/30/10,10/4/10,10/4/10,AD,ADVANTAGE,El Paso,TX,El Paso,TX,1,19.34,Economy,Y
23V6U8,10/4/10,10/6/10,10/7/10,ZR,DOLLAR RENT A CAR,Columbus,OH,Columbus,OH,1,24.00,Compact,Y
23XV54,10/4/10,10/6/10,10/7/10,ZT,THRIFTY RENT A CAR,Albuquerque,NM,Albuquerque,NM,1,60.00,Economy,Y
23YO8N,11/3/10,11/8/10,11/19/10,ZL,NATIONAL CAR RENTAL,San Antonio,TX,San Antonio,TX,11,20.14,Compact,N
