GDS Record Locator,Reservation Date,Ticket Issue Date,Trip Departure Date,Ticket Number,Airline Name,Cabin Class,Domestic / International Indicator,Origin Airport Code,Destination Airport Code,Routing,Invoice Amount,Tax Amount,Total Amount,Mileage,Exchange Indicator,Exchange Original Ticket Number,Refund  Indicator,Original Invoice Number,Online Indicator,Fare Category
297572,9/23/10,9/30/10,10/2/10,8615912763,UNITED AIRLINES,Coach,D,DCA,ORD,DCA/ORD,88.37,17.33,105.7,610.9043794,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
328698,10/20/10,10/25/10,11/1/10,8617840691,AMERICAN,Coach,D,DFW,DCA,DFW/DCA/DFW,444.66,54.74,499.4,2382.178084,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
368963,,11/3/10,11/2/10,8617620619,AMERICAN,Coach,D,DCA,STL,DCA/STL/DCA,-273.48,-41.92,-315.4,-1435.51032,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
368963,10/19/10,10/22/10,11/2/10,8617620619,AMERICAN,Coach,D,DCA,STL,DCA/STL/DCA,273.48,41.92,315.4,1435.51032,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
372723,10/20/10,10/29/10,11/3/10,,SOUTHWEST AIR,Coach,D,DAL,HOU,DAL/HOU/DAL,291.9,,291.9,480.4806028,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
389325,10/8/10,10/13/10,10/18/10,8616919933,US AIRWAYS,Coach,D,PHL,ROA,PHL/ROA/PHL,920.94,90.46,1011.4,621.3315098,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
867367,7/26/11,8/9/11,8/12/11,8673670974,UNITED AIRLINES,Coach,D,IAD,ORD,IAD/ORD,,19.4,19.4,588.1268065,Y,8672321475,N,8672321475,N,_CA Deep Discount City Pair Fare (Contract)
3.46E+08,10/21/10,10/21/10,10/22/10,,SOUTHWEST AIR,Coach,D,TUS,LAS,TUS/LAS/TUS,319.4,,319.4,728.6045589,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
213 CT,10/22/10,10/22/10,10/28/10,,SOUTHWEST AIR,Coach,D,BWI,MCI,BWI/MCI,124.7,,124.7,965.8100233,N,,N,,N,Economy Restricted Fare (Non-Contract)
227EXQ,9/29/10,10/22/10,11/1/10,,SOUTHWEST AIR,Coach,D,SAN,SAT,SAN/SAT/SAN,399.4,,399.4,2256.457109,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
2282I7,9/29/10,9/29/10,10/4/10,8615847834,DELTA AIR LINES,Coach,D,IAD,SLC,IAD/SLC/GTF/MSP/IAD,1480.94,153.86,1634.8,4083.022699,N,,N,,Y,YCA City Pair Fare (Contract)
2285R5,9/29/10,10/14/10,10/19/10,8617016119,AMERICAN,Coach,D,DFW,DCA,DFW/DCA/DFW,440.94,54.46,495.4,2382.178084,N,,N,,Y,Economy Discounted Government (Non-Contract)
228ZEN,9/29/10,10/6/10,10/7/10,8616392144,DELTA AIR LINES,Coach,D,OAJ,ATL,OAJ/ATL,0,-3066.03,-3066.03,-398.2345148,N,8615847750,Y,8615847750,N,_CA Deep Discount City Pair Fare (Contract)
228ZEN,9/29/10,9/29/10,10/3/10,8615847750,DELTA AIR LINES,Coach,D,ATL,OAJ,ATL/OAJ/ATL,750.7,76.2,826.9,796.4692704,N,,N,,Y,YCA City Pair Fare (Contract)
228ZEN,9/29/10,10/6/10,10/7/10,8616392150,DELTA AIR LINES,Coach,D,OAJ,ATL,OAJ/ATL,,,,398.2345148,Y,8615847750,N,8615847750,N,_CA Deep Discount City Pair Fare (Contract)
228ZEN,9/29/10,10/6/10,10/8/10,8616337951,DELTA AIR LINES,Coach,D,OAJ,ATL,OAJ/ATL,,,,398.2345148,Y,8615847750,N,8615847750,N,_CA Deep Discount City Pair Fare (Contract)
22985P,9/29/10,10/21/10,11/1/10,8617620476,AMERICAN,Coach,D,DFW,DEN,DFW/DEN/DFW,186.04,35.36,221.4,1290.68534,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
229L9G,9/29/10,10/13/10,10/17/10,8616919981,US AIRWAYS,Coach,D,DCA,MCO,DCA/MCO/DCA,417.68,52.72,470.4,1525.07174,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
22A9I9,,11/8/10,11/8/10,,SOUTHWEST AIR,Coach,D,PHX,SFO,PHX/SFO/PHX,-507.4,0,-507.4,-1300.292,N,,Y,,N,Economy Unrestricted Fare (Non-Contract)
22A9I9,9/29/10,11/4/10,11/8/10,,SOUTHWEST AIR,Coach,D,PHX,SFO,PHX/SFO/PHX,507.4,,507.4,1300.292,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
22AER7,9/29/10,10/7/10,10/12/10,8616445871,UNITED AIRLINES,Coach,D,ORD,DCA,ORD/DCA/ORD,210.23,37.17,247.4,1221.809058,N,,N,,Y,YCA City Pair Fare (Contract)
22AHX4,9/29/10,9/29/10,10/4/10,8615792163,ALASKA,Coach,D,SEA,ANC,SEA/ANC/SEA,791.36,42.75,834.11,2894.838256,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
