GDS Record Locator,Reservation Date,Check In Date,Check Out Date,Hotel Chain Code,Hotel Chain Name,Hotel Property Name,Hotel Address,Hotel City Name,Hotel State,Hotel Zip Code,Hotel Country Code,Number of Room Nights,Daily Rate,Room Rate Code,Online Indicator
22F56W,10/7/10,10/13/10,10/14/10,BW,BEST WESTERN INTL,Best Western Landing Hotel Ketchikan AK,3434 Tongass Avenue,Ketchikan                ,AK,99901,US,1,98.00,A1KXVU,Y
22GDRS,10/7/10,10/12/10,10/13/10,MC,MARRIOTT HOTELS,Marriott City Center,220 South State Street,Salt Lake City           ,UT,84111,US,1,95.00,GOVA00,Y
22GNCH,10/13/10,10/18/10,10/21/10,HH,HILTON/CONRAD HOTELS,Hilton Anchorage,500 West Third Avenue,Anchorage                ,AK,99501,US,3,99.00,A02CFT,Y
22QSPI,10/13/10,10/17/10,10/21/10,FN,FAIRFIELD INN,Fairfield Fis Chi Downtown,216 East Ontario Street,Chicago                  ,IL,60611,US,4,259.00,SPVA00,N
22UAY3,10/14/10,10/19/10,10/20/10,OM,OMNI/SUPRANATIONAL,Omni Austin Hotel,700 San Jacinto Blvd At 8Th St,Austin                   ,TX,78701,US,1,104.00,A1KXVU,Y
22UR9L,9/30/10,10/3/10,10/8/10,MG,ROOM CENTRE,The Magnolia Denver CO,818 17Th Street,Denver                   ,CO,80202,US,5,141.00,A1KXVU,Y
22XSVW,10/7/10,10/12/10,10/16/10,HH,HILTON/CONRAD HOTELS,The Capital Hilton Washington DC,16Th And K Streets Nw,Washington               ,DC,20036,US,4,211.00,A0PF2R,Y
23V6U8,10/4/10,10/6/10,10/7/10,GI,HILTON GARDEN INN,Hilton Grdn Inn Cmh Airport,4265 Sawyer Road,Columbus                 ,OH,43219,US,1,94.00,A02AKB,Y
23YO8N,11/3/10,11/8/10,11/19/10,ES,EMBASSY SUITES,Embassy Stes San Antonio Aprt,10110 Hwy 281 North,San Antonio              ,TX,78216,US,11,99.99,A08A37,N
23YO8N,11/9/10,11/8/10,11/11/10,ES,EMBASSY SUITES,Embassy Stes San Antonio Aprt,10110 Hwy 281 North,San Antonio              ,TX,78216,US,3,99.99,A08A37,N
24DML8,10/4/10,10/6/10,10/7/10,WV,IHOTELIER,Waterfront Place Hotel Morgantown WV,Two Waterfront Place,Morgantown               ,WV,26501,US,1,83.00,C2QGOV,Y
24EHD7,10/14/10,10/19/10,10/20/10,IC,INTERCONTINENTAL HOTELS,Intercontinental San Francisco CA,888 Howard Street,San Francisco            ,CA,94103,US,1,194.00,KSUG52,N
24EHD7,10/14/10,10/19/10,10/20/10,IC,INTERCONTINENTAL HOTELS,Intercontinental San Francisco CA,888 Howard Street,San Francisco            ,CA,94103,US,1,194.00,KSUG52,N
24EHD7,10/14/10,10/20/10,10/22/10,DT,DOUBLETREE HOTELS,Doubletree Berkeley Marina,200 Marina Boulevard,Berkeley                 ,CA,94710,US,2,94.00,A03A9W,N
24EHD7,10/14/10,10/20/10,10/22/10,DT,DOUBLETREE HOTELS,Doubletree Berkeley Marina,200 Marina Boulevard,Berkeley                 ,CA,94710,US,2,94.00,A03A9W,N
24LWAM,10/1/10,10/18/10,10/19/10,YX,SYNXIS CORPORATION,L Enfant Plaza Hotel Washington DC,480 L Enfant Plaza Sw,Washington               ,DC,20024,US,1,264.00,B2DGV4,N
259XE7,10/6/10,10/11/10,10/13/10,RC,RESIDENCE INNS,Residence Inn Historic Midtown Atlanta G,1041 West Peachtree Street,Atlanta                  ,GA,30309,US,2,119.00,FDMT00,Y
25OGD4,10/3/10,10/4/10,10/6/10,HX,HAMPTON INNS,Hampton Inn Stes Brownsville TX,3000 N Expressway,Brownsville              ,TX,78526,US,2,87.00,A02A0K,N
25SVSI,10/2/10,10/4/10,10/5/10,HX,HAMPTON INNS,Hampton Inn Suites Grenada,1545 Jameson Drive,Grenada                  ,MS,38901,US,1,75.00,A0DA17,N
25SXVS,10/1/10,10/4/10,10/5/10,HX,HAMPTON INNS,Hampton Inn Suites Grenada,1545 Jameson Drive,Grenada                  ,MS,38901,US,1,75.00,A0DA17,N
25WLNQ,10/1/10,10/26/10,10/27/10,ES,EMBASSY SUITES,Embassy Stes Minneapolis Brooklyn Center,6300 Earle Brown Drive,Minneapolis              ,MN,55430,US,1,120.00,A01AA7,Y
2666BO,9/29/10,10/4/10,10/5/10,RL,RED LION HOTELS,Red Lion At The Park Spokane WA,303 W North River Drive,Spokane                  ,WA,99201,US,1,86.00,C1QGOV,Y
2666BO,9/30/10,10/4/10,10/5/10,RL,RED LION HOTELS,Red Lion At The Park Spokane WA,303 W North River Drive,Spokane                  ,WA,99201,US,1,86.00,C1QGOV,N
26AJJ3,10/6/10,10/11/10,10/15/10,RD,RADISSON HOTELS,Radisson Htl Reagan Natl Airpt Arlington,2020 Jefferson Davis Highway,Arlington                ,VA,22202,US,4,179.00,IA0024,Y
26LI67,10/1/10,10/3/10,10/7/10,MC,MARRIOTT HOTELS,Marriott Stes Ohare,6155 North River Rd,Des Plaines              ,IL,60018,US,4,173.00,GOVB00,Y
26N547,10/13/10,10/17/10,10/19/10,YX,SYNXIS CORPORATION,L Enfant Plaza Hotel Washington DC,480 L Enfant Plaza Sw,Washington               ,DC,20024,US,2,264.00,B2DGV4,N
26QD9P,10/5/10,10/8/10,10/10/10,KC,KIMCO HOTELS,The Onyx Hotel Boston MA,155 Portland Street,Boston                   ,MA,02114,US,2,206.00,A2DXVU,Y
26QD9P,10/7/10,10/8/10,10/10/10,KC,KIMCO HOTELS,The Onyx Hotel Boston MA,155 Portland Street,Boston                   ,MA,02114,US,2,206.00,A2DXVU,Y
26QD9P,10/7/10,10/8/10,10/10/10,KC,KIMCO HOTELS,The Onyx Hotel Boston MA,155 Portland Street,Boston                   ,MA,02114,US,2,206.00,A2DXVU,Y
26SNHC,10/1/10,10/6/10,10/7/10,WI,WESTIN HOTELS,The Westin Key West Resort FL,245 Front Street,Key West                 ,FL,33040,US,1,269.00,C2QQR8,Y
26UQF7,10/4/10,10/6/10,10/8/10,MC,MARRIOTT HOTELS,Marriott Key West Beachside,3841 North Roosevelt Blvd,Key West                 ,FL,33040,US,2,145.00,GOVA00,N
26VUX4,10/5/10,10/6/10,10/10/10,KC,KIMCO HOTELS,The Onyx Hotel Boston MA,155 Portland Street,Boston                   ,MA,02114,US,4,206.00,B1KXV1,N
26ZEHQ,10/1/10,10/6/10,10/7/10,RQ,REGAL HOTELS INTERNATIONAL,Regal Minneapolis Hotel,1313 Nicollett Mall,Minneapolis              ,MN,55403,US,1,120.00,B1KXVU,Y
279Z3X,9/30/10,10/5/10,10/6/10,HI,HOLIDAY INNS,Holiday Inn Cinncinnati Arpt Erlanger KY,1717 Airport Exchange,Erlanger                 ,KY,41018,US,1,98.00,KSBNXV,Y
27WAUA,9/29/10,9/30/10,10/1/10,HI,HOLIDAY INNS,Holiday Inn Express Pearl Jackson Intl A,1226 Phillips Street,Pearl                    ,MS,39208,US,1,70.00,KNGN52,N
284FNL,10/11/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,79.99,A1KGOV,N
286AZJ,10/7/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,79.99,C1KGOV,N
28RNJ9,10/18/10,10/20/10,10/21/10,CP,CROWNE PLAZA HOTELS,Crowne Plaza Five Seasons Cedar Rapids I,350 First Avenue Ne,Cedar Rapids             ,IA,52401,US,1,81.00,KNGNXV,N
28SZPZ,10/1/10,10/6/10,10/7/10,HX,HAMPTON INNS,Hampton Inn Laredo Tx,7903 San Dario,Laredo                   ,TX,78041,US,1,85.00,A08A0W,Y
292QI6,9/29/10,10/4/10,10/5/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,1,229.00,A0EE0J,Y
293RW6,10/5/10,10/6/10,10/7/10,SI,SHERATON HOTELS,Sheraton South Portland Hotel - ME,363 Maine Mall Road,South Portland           ,ME,04106,US,1,89.00,N1KXVU,Y
29H3WY,10/6/10,10/10/10,10/16/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta And Towers GA,255 Courtland Street Ne,Atlanta                  ,GA,30303,US,6,132.00,A0LHCL,N
29H3WY,10/6/10,10/10/10,10/16/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta And Towers GA,255 Courtland Street Ne,Atlanta                  ,GA,30303,US,6,132.00,A0LHCL,N
29V2UZ,10/7/10,10/12/10,10/14/10,MC,MARRIOTT HOTELS,Marriott City Center,220 South State Street,Salt Lake City           ,UT,84111,US,2,95.00,GOVA00,Y
2AE6NB,10/7/10,10/12/10,10/15/10,MC,MARRIOTT HOTELS,Marriott Jw Pennsylvania Ave,1331 Pennsylvania Ave,Washington               ,DC,20004,US,3,211.00,GOVA00,Y
2AL9DA,10/1/10,10/3/10,10/4/10,DT,DOUBLETREE HOTELS,Doubletree Hotel Harbor View,1646 Front Street,San Diego                ,CA,92101,US,1,284.00,A01A92,N
2AL9DA,10/1/10,10/3/10,10/5/10,DT,DOUBLETREE HOTELS,Doubletree Hotel Harbor View,1646 Front Street,San Diego                ,CA,92101,US,2,142.00,A01A92,N
2AL9DA,10/1/10,10/5/10,10/7/10,CY,COURTYARD BY MARRIOTT,Courtyard Oak Downtown Oakland CA,988 Broadway,Oakland                  ,CA,94607,US,2,100.00,GOVA00,N
2AL9DA,10/1/10,10/5/10,10/7/10,CY,COURTYARD BY MARRIOTT,Courtyard Oak Downtown Oakland CA,988 Broadway,Oakland                  ,CA,94607,US,2,100.00,GOVA00,N
2D775A,10/8/10,10/14/10,10/15/10,BW,BEST WESTERN INTL,Best Western Ponderosa Inn Billings MT,2511 First Ave N Po Box 1791,Billings                 ,MT,59103,US,1,70.00,B1KXVU,Y
2FB7LL,9/29/10,10/3/10,10/6/10,WH,W HOTELS,W San Diego CA,421 West B Street,San Diego                ,CA,92101,US,3,147.00,A1KGOV,Y
2JBCGA,9/29/10,10/3/10,10/9/10,BR,RENAISSANCE HOTELS,Renaissance Dupont Circle Htl Washington,1143 New Hampshire Ave Nw,Washington               ,DC,20037,US,6,211.00,GOVA00,Y
2JDGJ8,10/1/10,10/6/10,10/8/10,HI,HOLIDAY INNS,Holiday Inn Express Downtown Nashville T,920 Broadway,Nashville                ,TN,37203,US,2,110.00,KNGNXV,Y
2LB4J5,10/6/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,79.99,N2DGOV,N
2LB4J5,10/6/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,79.99,N2DGOV,N
2N5QXE,9/23/10,9/29/10,10/1/10,WH,W HOTELS,W San Diego CA,421 West B Street,San Diego                ,CA,92101,US,2,147.00,A1KGOV,N
2OMIO6,10/1/10,10/4/10,10/5/10,WI,WESTIN HOTELS,The Westin Jersey City Newport,479 Washington Blvd,Jersey City              ,NJ,07310,US,1,189.00,X1KGOV,N
2OMJS8,10/1/10,10/6/10,10/7/10,DT,DOUBLETREE HOTELS,Doubletree Suites Waltham MA,550 Winter Street Waltham Ma U,Waltham,MA,02154,US,1,121.00,A04AC8,N
2PYXDP,10/1/10,10/5/10,10/7/10,HH,HILTON/CONRAD HOTELS,Hilton Anchorage,500 West Third Avenue,Anchorage                ,AK,99501,US,2,99.00,A02CFT,N
2Q8PUW,10/7/10,10/11/10,10/15/10,UI,UTELL INTERNATIONAL,State Plaza Hotel,2117 E Street Northwest,Washington               ,DC,20037,US,4,211.00,A0FA49,N
2Q8PUW,10/7/10,10/12/10,10/15/10,UI,UTELL INTERNATIONAL,State Plaza Hotel,2117 E Street Northwest,Washington               ,DC,20037,US,3,211.00,A0FA49,Y
2QILBR,9/29/10,10/3/10,10/8/10,HY,HYATT HOTELS,Hp Overland Prk Convention KS,5001 W 110Th Street,Leawood                  ,KS,66211,US,5,99.00,KNGFPL,Y
2QPPOM,9/29/10,10/4/10,10/7/10,UI,UTELL INTERNATIONAL,State Plaza Hotel,2117 E Street Northwest,Washington               ,DC,20037,US,3,211.00,A0FA49,Y
2QRM4R,10/7/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,70.00,A1KGOV,N
2QRM4R,10/7/10,10/12/10,10/14/10,AA,AMERICINNS,Americinn International Falls Mn,1500 Hwy 71,International Falls      ,MN,56649,US,2,79.99,A1KGOV,N
2RNY9C,10/21/10,11/28/10,12/3/10,UI,UTELL INTERNATIONAL,The Quincy Washington DC,1823 L St Nw,Washington               ,DC,20036,US,5,181.00,A00A1I,Y
2SES5E,9/29/10,10/3/10,10/8/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,5,141.00,C2QGVF,Y
2SLU28,10/8/10,10/13/10,10/15/10,CP,CROWNE PLAZA HOTELS,Crowne Plaza Cabana Palo Alto CA,4290 El Camino Real,Palo Alto,,94306,CR,2,132.00,KEXNXV,N
2UAR5A,10/7/10,10/12/10,10/14/10,MC,MARRIOTT HOTELS,Marriott City Center,220 South State Street,Salt Lake City           ,UT,84111,US,2,95.00,GOVA00,Y
2VGNML,10/13/10,10/18/10,10/21/10,HH,HILTON/CONRAD HOTELS,Hilton Garden Inn Grand Forks ND,4301 Dartmouth Drive,Grand Forks              ,ND,58203,US,3,51.33,A04ATE,Y
2WG7IX,10/13/10,10/18/10,10/22/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,4,211.00,A0CE0J,Y
2WG7IX,10/13/10,10/18/10,10/22/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,4,211.00,A0CE0J,Y
