GDS Record Locator,Reservation Date,Check In Date,Check Out Date,Hotel Chain Code,Hotel Chain Name,Hotel Property Name,Hotel Address,Hotel City Name,Hotel State,Hotel Zip Code,Hotel Country Code,Number of Room Nights,Daily Rate,Room Rate Code,Online Indicator
7UVAXH,9/3/10,10/4/10,10/7/10,BW,BEST WESTERN INTL,Best Western New Hampshire Suite Washing,1121 New Hampshire Ave Nw,Washington               ,DC,20037,US,3,209.00,A1KXVU,Y
OO4BO2,9/23/10,9/26/10,10/2/10,UZ,UNIREZ,Club Quarters,839 17Th Street Nw,Washington               ,DC,20006,US,6,229.00,B1QGOV,N
M9UAEP,9/23/10,9/26/10,10/5/10,HX,HAMPTON INNS,Hampton Inn - Alexandria VA - Old Town,5821 Richmond Highway,Alexandria               ,VA,22303,US,9,189.00,A0MA3T,Y
2N5QXE,9/23/10,9/29/10,10/1/10,WH,W HOTELS,W San Diego CA,421 West B Street,San Diego                ,CA,92101,US,2,147.00,A1KGOV,N
MO77BJ,9/24/10,9/29/10,10/2/10,IC,INTERCONTINENTAL HOTELS,Inter-Continental Chicago,505 North Michigan Ave,Chicago                  ,IL,60611,US,3,205.00,TSUGXV,Y
MO77BJ,9/24/10,9/29/10,10/2/10,IC,INTERCONTINENTAL HOTELS,Inter-Continental Chicago,505 North Michigan Ave,Chicago                  ,IL,60611,US,3,205.00,TSUGXV,Y
MEEO95,9/24/10,9/29/10,10/1/10,WI,WESTIN HOTELS,The Westin Washington DC City,1400 M Street Nw,Washington               ,DC,20005,US,2,229.00,A1KGOV,N
MR3QRZ,9/27/10,9/30/10,10/1/10,HY,HYATT HOTELS,Hyatt Place Columbus North,2974 Northlake Parkway,Columbus                 ,GA,31909,US,1,92.00,KNGFPL,N
OGIMHG,9/27/10,10/4/10,10/7/10,BW,BEST WESTERN INTL,Best Western New Hampshire Suite Washing,1121 New Hampshire Ave Nw,Washington               ,DC,20037,US,3,209.00,A1KXVU,Y
M6X7MI,9/28/10,9/29/10,10/1/10,RC,RESIDENCE INNS,Residence Inn Alamo Plaza-Dtwn San Anton,425 Bonham,San Antonio              ,TX,78205,US,2,117.00,GOVA00,N
M8WX3M,9/28/10,10/3/10,10/9/10,WH,W HOTELS,W Hotel Atlanta Perimeter Ctr,111 Perimeter Center West,Atlanta                  ,GA,30346,US,6,150.00,C1KG1B,Y
2ZEREM,9/28/10,10/7/10,10/8/10,MC,MARRIOTT HOTELS,Marriott Airport Seattle WA,3201 S 176Th St,Seattle                  ,WA,98188,US,1,139.00,GOVA00,N
27WAUA,9/29/10,9/30/10,10/1/10,HI,HOLIDAY INNS,Holiday Inn Express Pearl Jackson Intl A,1226 Phillips Street,Pearl                    ,MS,39208,US,1,70.00,KNGN52,N
2SES5E,9/29/10,10/3/10,10/8/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,5,141.00,C2QGVF,Y
2ZCV4S,9/29/10,10/3/10,10/4/10,LM,LEXINGTON MGNT CORP.,La Posada Hotel And Suites,1000 Zaragoza Street,Laredo                   ,TX,78040,US,1,78.00,A1KGOV,Y
7S5QCN,9/29/10,10/3/10,10/7/10,CP,CROWNE PLAZA HOTELS,Crowne Plaza O Hare International Rosemo,5440 N River Road,Des Plaines              ,IL,60018,US,4,159.00,KWCN52,Y
2QILBR,9/29/10,10/3/10,10/8/10,HY,HYATT HOTELS,Hp Overland Prk Convention KS,5001 W 110Th Street,Leawood                  ,KS,66211,US,5,99.00,KNGFPL,Y
2JBCGA,9/29/10,10/3/10,10/9/10,BR,RENAISSANCE HOTELS,Renaissance Dupont Circle Htl Washington,1143 New Hampshire Ave Nw,Washington               ,DC,20037,US,6,211.00,GOVA00,Y
2FB7LL,9/29/10,10/3/10,10/6/10,WH,W HOTELS,W San Diego CA,421 West B Street,San Diego                ,CA,92101,US,3,147.00,A1KGOV,Y
MHVRD8,9/29/10,10/3/10,10/8/10,WH,W HOTELS,W Hotel Atlanta Buckhead,3377 Peachtree Road N E,Atlanta                  ,GA,30326,US,5,140.00,A1KGVF,Y
MNXYJL,9/29/10,10/4/10,10/6/10,HX,HAMPTON INNS,Hampton Ste Atlanta Camp Crk Prk,3450 Creek Pointe Drive,Atlanta                  ,GA,30344,US,2,129.00,A02A1S,Y
2QPPOM,9/29/10,10/4/10,10/7/10,UI,UTELL INTERNATIONAL,State Plaza Hotel,2117 E Street Northwest,Washington               ,DC,20037,US,3,211.00,A0FA49,Y
OG8DSB,9/29/10,10/4/10,10/7/10,BW,BEST WESTERN INTL,Best Western New Hampshire Suite Washing,1121 New Hampshire Ave Nw,Washington               ,DC,20037,US,3,209.00,A1KXVU,Y
MIWHJE,9/29/10,10/4/10,10/8/10,HI,HOLIDAY INNS,Holiday Inn Disney Lake Buena Vista FL,1805 Hotel Plaza Boulevard,Orlando                  ,FL,32830,US,4,90.00,KSBNXV,Y
292QI6,9/29/10,10/4/10,10/5/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,1,229.00,A0EE0J,Y
M9V3GV,9/29/10,10/4/10,10/5/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,1,229.00,A0EE0J,Y
2666BO,9/29/10,10/4/10,10/5/10,RL,RED LION HOTELS,Red Lion At The Park Spokane WA,303 W North River Drive,Spokane                  ,WA,99201,US,1,86.00,C1QGOV,Y
MQAMJL,9/29/10,10/4/10,10/7/10,BH,HAWTHORN SUITES,Hawthorn Suites Albuquerque NM,1511 Gibson Blvd Se,Albuquerque              ,NM,87106,US,3,65.00,NK1DFE,Y
OXOHLL,9/30/10,10/1/10,10/6/10,WH,W HOTELS,W San Diego CA,421 West B Street,San Diego                ,CA,92101,US,5,147.00,A1KG1B,N
22UR9L,9/30/10,10/3/10,10/8/10,MG,ROOM CENTRE,The Magnolia Denver CO,818 17Th Street,Denver                   ,CO,80202,US,5,141.00,A1KXVU,Y
M2UCA8,9/30/10,10/3/10,10/6/10,HI,HOLIDAY INNS,Holiday Inn San Jose,1740 North First Street,San Jose                 ,CA,95112,US,3,81.00,KEXNXV,N
M4JOWO,9/30/10,10/3/10,10/8/10,HY,HYATT HOTELS,Park Hyatt Philadelphia PA,Broad And Walnut Streets,Philadelphia             ,PA,19102,US,5,149.00,KNGFPL,N
M2DH9Z,9/30/10,10/4/10,10/7/10,FN,FAIRFIELD INN,Fairfield Inn And Stes Laredo TX,700 W Hillside Road,Laredo                   ,TX,78041,US,3,78.00,GOVA00,N
2666BO,9/30/10,10/4/10,10/5/10,RL,RED LION HOTELS,Red Lion At The Park Spokane WA,303 W North River Drive,Spokane                  ,WA,99201,US,1,86.00,C1QGOV,N
M4D68L,9/30/10,10/4/10,10/5/10,HH,HILTON/CONRAD HOTELS,Hilton Riverside New Orleans LA,2 Poydras Street,New Orleans              ,LA,70140,US,1,131.00,A04H0P,Y
M4ENCY,9/30/10,10/4/10,10/5/10,HH,HILTON/CONRAD HOTELS,Hilton Riverside New Orleans LA,2 Poydras Street,New Orleans              ,LA,70140,US,1,131.00,A04H0P,N
NYEBEF,9/30/10,10/4/10,10/8/10,HH,HILTON/CONRAD HOTELS,Hilton Hawaiian Village,2005 Kalia Road,Honolulu                 ,HI,96815,US,4,177.00,A02H9W,N
M6HM32,9/30/10,10/5/10,10/6/10,HX,HAMPTON INNS,Hmptn Stes Fairbanks,433 Harold Bentley Avenue,Fairbanks                ,AK,99701,US,1,75.00,A02A03,Y
MYO5FG,9/30/10,10/5/10,10/7/10,XV,SPRINGHILL SUITES,Springhill Stes Boise Park Cntr,424 East Park Center Blvd,Boise                    ,ID,83706,US,2,77.00,GOVA00,Y
279Z3X,9/30/10,10/5/10,10/6/10,HI,HOLIDAY INNS,Holiday Inn Cinncinnati Arpt Erlanger KY,1717 Airport Exchange,Erlanger                 ,KY,41018,US,1,98.00,KSBNXV,Y
M4B6JZ,9/30/10,10/5/10,10/7/10,ES,EMBASSY SUITES,Embassy Suites Indianapolis IN,3912 Vincennes Road,Indianapolis             ,IN,46268 3024,US,2,91.00,A0CA5Y,Y
M4NHDR,9/30/10,10/6/10,10/8/10,CY,COURTYARD BY MARRIOTT,Courtyard By Marriott,5001 N Federal Hwy,Fort Lauderdale          ,FL,33308,US,2,124.00,GOVA00,N
M2DH9Z,9/30/10,10/7/10,10/8/10,ES,EMBASSY SUITES,Embassy Stes San Antonio Aprt,10110 Hwy 281 North,San Antonio              ,TX,78216,US,1,106.00,A03A93,N
M364ZI,9/30/10,12/15/10,12/17/10,HH,HILTON/CONRAD HOTELS,San Francisco Hilton And Tower,333 O Farrell Street,San Francisco            ,CA,94102,US,2,142.00,A06DME,N
M686M7,10/1/10,10/3/10,10/6/10,HY,HYATT HOTELS,Hyatt Regency San Diego,One Market Place,San Diego                ,CA,92101,US,3,131.00,DBLFPL,N
MYZBPU,10/1/10,10/3/10,10/4/10,OM,OMNI/SUPRANATIONAL,Omni Fort Worth Hotel,1300 Houston Street Tarrant,Fort Worth               ,TX,76102,US,1,138.00,A1KXVU,N
2AL9DA,10/1/10,10/3/10,10/4/10,DT,DOUBLETREE HOTELS,Doubletree Hotel Harbor View,1646 Front Street,San Diego                ,CA,92101,US,1,284.00,A01A92,N
2AL9DA,10/1/10,10/3/10,10/5/10,DT,DOUBLETREE HOTELS,Doubletree Hotel Harbor View,1646 Front Street,San Diego                ,CA,92101,US,2,142.00,A01A92,N
M4B5EV,10/1/10,10/3/10,10/4/10,FN,FAIRFIELD INN,Fairfield Inn N Stes Marriott,307 Eastwood Road,Wilmington               ,NC,28403,US,1,97.00,FDMT00,N
26LI67,10/1/10,10/3/10,10/7/10,MC,MARRIOTT HOTELS,Marriott Stes Ohare,6155 North River Rd,Des Plaines              ,IL,60018,US,4,173.00,GOVB00,Y
NAMGQH,10/1/10,10/4/10,10/6/10,LQ,LA QUINTA INN AND SUITES,La Quinta Eagle Pass TX,2525 E Main St,Eagle Pass               ,TX,78852-4498,US,2,70.00,A05A1G,N
25SXVS,10/1/10,10/4/10,10/5/10,HX,HAMPTON INNS,Hampton Inn Suites Grenada,1545 Jameson Drive,Grenada                  ,MS,38901,US,1,75.00,A0DA17,N
M32Q7H,10/1/10,10/4/10,10/6/10,HY,HYATT HOTELS,Hyatt Regency Phoenix,122 North 2Nd Street,Phoenix                  ,AZ,85004,US,2,106.00,KNGFPL,N
M66Q4O,10/1/10,10/4/10,10/8/10,HI,HOLIDAY INNS,Holiday Inn Express Fairfax VA,10327 Fairfax Boulevard,Fairfax                  ,VA,22030,US,4,152.00,KNGSXV,Y
2OMIO6,10/1/10,10/4/10,10/5/10,WI,WESTIN HOTELS,The Westin Jersey City Newport,479 Washington Blvd,Jersey City              ,NJ,07310,US,1,189.00,X1KGOV,N
2PYXDP,10/1/10,10/5/10,10/7/10,HH,HILTON/CONRAD HOTELS,Hilton Anchorage,500 West Third Avenue,Anchorage                ,AK,99501,US,2,99.00,A02CFT,N
